date,close,usd_close,selic
2023-10-19,114004.0,5.0646,12.75
2023-10-18,11406.0,5.0591,12.75
2023-10-17,115908.0,5.0414,12.75
2023-10-16,116534.0,5.0377,12.75
2023-10-13,115754.0,5.0801,12.75
2023-10-11,117051.0,5.0483,12.75
2023-10-10,116737.0,5.0516,12.75
2023-10-09,115156.0,5.1355,12.75
2023-10-06,11417.0,5.1457,12.75
2023-10-05,113284.0,5.1658,12.75
2023-10-04,113607.0,5.1562,12.75
2023-10-03,113419.0,5.1669,12.75
2023-10-02,115057.0,5.061,12.75
2023-09-29,116565.0,5.032,12.75
2023-09-28,115731.0,5.0331,12.75
2023-09-27,114327.0,5.0425,12.75
2023-09-26,114193.0,4.9898,12.75
2023-09-25,115925.0,4.9678,12.75
2023-09-22,116009.0,4.9351,12.75
2023-09-21,116145.0,4.9351,12.75
2023-09-20,118695.0,4.8801,12.75
2023-09-19,117846.0,4.8673,13.25
2023-09-18,118288.0,4.8556,13.25
2023-09-15,118758.0,4.8663,13.25
2023-09-14,119392.0,4.8668,13.25
2023-09-13,118176.0,4.9153,13.25
2023-09-12,117968.0,4.947,13.25
2023-09-11,116883.0,4.9307,13.25
2023-09-08,115313.0,4.9882,13.25
2023-09-06,115985.0,4.9784,13.25
2023-09-05,117331.0,4.9671,13.25
2023-09-04,117777.0,4.9376,13.25
2023-09-01,117893.0,4.9463,13.25
2023-08-31,115742.0,4.9544,13.25
2023-08-30,117535.0,4.889,13.25
2023-08-29,118404.0,4.8523,13.25
2023-08-28,117121.0,4.8731,13.25
2023-08-25,115837.0,4.8711,13.25
2023-08-24,117026.0,4.8802,13.25
2023-08-23,118135.0,4.8572,13.25
2023-08-22,116156.0,4.9386,13.25
2023-08-21,114429.0,4.9793,13.25
2023-08-18,115409.0,4.9694,13.25
2023-08-17,114982.0,4.9758,13.25
2023-08-16,115592.0,4.9879,13.25
2023-08-15,116171.0,4.9845,13.25
2023-08-14,11681.0,4.9615,13.25
2023-08-11,118065.0,4.9048,13.25
2023-08-10,11835.0,4.8924,13.25
2023-08-09,118409.0,4.902,13.25
2023-08-08,11909.0,4.8996,13.25
2023-08-07,11938.0,4.8999,13.25
2023-08-04,119508.0,4.8733,13.25
2023-08-03,120586.0,4.917,13.25
2023-08-02,120859.0,4.812,13.25
2023-08-01,121248.0,4.7911,13.75
2023-07-31,121943.0,4.7241,13.75
2023-07-28,120187.0,4.7336,13.75
2023-07-27,11999.0,4.7424,13.75
2023-07-26,12256.0,4.7364,13.75
2023-07-25,122008.0,4.7498,13.75
2023-07-24,121342.0,4.7271,13.75
2023-07-21,120217.0,4.7795,13.75
2023-07-20,118083.0,4.798,13.75
2023-07-19,117552.0,4.7909,13.75
2023-07-18,117841.0,4.8105,13.75
2023-07-17,118219.0,4.8066,13.75
2023-07-14,117711.0,4.7894,13.75
2023-07-13,119264.0,4.7971,13.75
2023-07-12,117666.0,4.8184,13.75
2023-07-11,117556.0,4.8538,13.75
2023-07-10,117942.0,4.8978,13.75
2023-07-07,118898.0,4.872,13.75
2023-07-06,117426.0,4.9193,13.75
2023-07-05,119549.0,4.8478,13.75
2023-07-04,119076.0,4.8408,13.75
2023-07-03,119673.0,4.8077,13.75
2023-06-30,118087.0,4.786,13.75
2023-06-29,118383.0,4.8553,13.75
2023-06-28,116681.0,4.8506,13.75
2023-06-27,117523.0,4.8103,13.75
2023-06-26,118243.0,4.7675,13.75
2023-06-23,118977.0,4.7864,13.75
2023-06-22,118934.0,4.7689,13.75
2023-06-21,12042.0,4.763,13.75
2023-06-20,119622.0,4.7902,13.75
2023-06-19,119858.0,4.7772,13.75
2023-06-16,118758.0,4.8199,13.75
2023-06-15,119221.0,4.8102,13.75
2023-06-14,119069.0,4.8146,13.75
2023-06-13,116743.0,4.8622,13.75
2023-06-12,117336.0,4.8613,13.75
2023-06-09,117019.0,4.8791,13.75
2023-06-07,115488.0,4.9235,13.75
2023-06-06,11461.0,4.9125,13.75
2023-06-05,112696.0,4.9289,13.75
2023-06-02,112558.0,4.9571,13.75
2023-06-01,110565.0,5.014,13.75
2023-05-31,108335.0,5.0574,13.75
2023-05-30,108967.0,5.0357,13.75
2023-05-29,110333.0,5.0171,13.75
2023-05-26,110906.0,4.9939,13.75
2023-05-25,110054.0,5.0356,13.75
2023-05-24,1088.0,4.9619,13.75
2023-05-23,109929.0,4.9714,13.75
2023-05-22,110213.0,4.9667,13.75
2023-05-19,110745.0,4.9981,13.75
2023-05-18,110108.0,4.9652,13.75
2023-05-17,10946.0,4.9396,13.75
2023-05-16,108194.0,4.9402,13.75
2023-05-15,109029.0,4.8904,13.75
2023-05-12,108464.0,4.9195,13.75
2023-05-11,108256.0,4.9295,13.75
2023-05-10,107448.0,4.9424,13.75
2023-05-09,107114.0,4.9862,13.75
2023-05-08,106042.0,5.0097,13.75
2023-05-05,105148.0,4.9518,13.75
2023-05-04,102174.0,4.9822,13.75
2023-05-03,101797.0,4.9949,13.75
2023-05-02,101927.0,5.0387,13.75
2023-04-28,104432.0,4.9865,13.75
2023-04-27,102923.0,4.9771,13.75
2023-04-26,102312.0,5.0435,13.75
2023-04-25,10322.0,5.0497,13.75
2023-04-24,103947.0,5.0337,13.75
2023-04-20,104367.0,5.0486,13.75
2023-04-19,103913.0,5.0753,13.75
2023-04-18,106163.0,4.984,13.75
2023-04-17,106016.0,4.9413,13.75
2023-04-14,106279.0,4.9096,13.75
2023-04-13,106458.0,4.9272,13.75
2023-04-12,10689.0,4.9181,13.75
2023-04-11,106214.0,5.0054,13.75
2023-04-10,101847.0,5.0655,13.75
2023-04-06,100822.0,5.057,13.75
2023-04-05,100978.0,5.034,13.75
2023-04-04,101869.0,5.0716,13.75
2023-04-03,101506.0,5.0632,13.75
2023-03-31,101882.0,5.0631,13.75
2023-03-30,103713.0,5.0938,13.75
2023-03-29,101793.0,5.1356,13.75
2023-03-28,101185.0,5.1655,13.75
2023-03-27,9967.0,5.1983,13.75
2023-03-24,98829.0,5.2463,13.75
2023-03-23,97926.0,5.2973,13.75
2023-03-22,100221.0,5.2369,13.75
2023-03-21,100998.0,5.243,13.75
2023-03-20,100923.0,5.2368,13.75
